playerId,heroId,equipmentIds
d6ff4e2c-6de9-46ab-837d-53b43649a467,c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;481794e3-e1cf-43de-94e4-59152e04eebb
d6ff4e2c-6de9-46ab-837d-53b43649a467,3ff64455-d182-4fcc-b677-ec018cca7abb,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;85907a8c-a430-40da-aaec-502fc4d079c5;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
6fff5a00-20da-42ec-80e7-290ba7c09ae5,1adbb92f-5cf9-461a-9d47-3c24b0ca41ac,f081fafe-6a1f-4276-9ad9-d37c115dae73;cfc09349-e050-4951-8332-2460d7901c24;621a67f6-4978-42ea-bc30-298a78c3ce95
6472f4d3-4bb0-4201-b390-05de8bf74a66,3fc54e18-a306-4ae3-bf1d-1291b264b01e,a09cc3b4-f06c-4e22-86f9-5b5c45a72137;0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
ff9d75ed-4f63-46c6-b3f9-2da34ed01136,260f1fa0-fcad-4d2d-8f06-cc79aac9bb07,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
88a43873-023f-4b92-b043-407c830cc0c4,c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
88a43873-023f-4b92-b043-407c830cc0c4,3ff64455-d182-4fcc-b677-ec018cca7abb,95718e7d-28a6-449e-b5a4-36e38e360b3a;85907a8c-a430-40da-aaec-502fc4d079c5
0bc9e53a-3a8f-45f5-9635-a0968ace9d1d,28b9976c-666a-4a9a-8be7-480e7926172f,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
a4f18ac4-5b09-47f7-b8e6-2d0cfee2243f,3451be5d-6d13-4f54-ac4f-ce8aedf64dc8,621a67f6-4978-42ea-bc30-298a78c3ce95;307e1f13-2cfd-45ae-86df-ce90dcb6dde0;7deb8b2e-1722-4824-a7d2-72c052bc51f8
ce948502-f41c-491d-a0bf-32a14f48d97e,2b7b323c-441c-4046-892e-46280fe0f8c1,f081fafe-6a1f-4276-9ad9-d37c115dae73;cfc09349-e050-4951-8332-2460d7901c24
ce948502-f41c-491d-a0bf-32a14f48d97e,28b9976c-666a-4a9a-8be7-480e7926172f,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d
db68838f-7f38-468b-8eab-b1f3a4e4d9ea,fc83f13d-a8f3-4f0e-9103-27b565d6c4cf,f081fafe-6a1f-4276-9ad9-d37c115dae73;621a67f6-4978-42ea-bc30-298a78c3ce95;307e1f13-2cfd-45ae-86df-ce90dcb6dde0
bb1e7f12-405d-4781-b8d4-f1d55da36a48,d6008969-b2b5-4406-9542-be37a4556a36,9e6b46e1-243d-427c-afb8-93350f0f10cb;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
bb1e7f12-405d-4781-b8d4-f1d55da36a48,25fe5fc9-97f9-4c58-a8ef-49ef7ee1c3c5,9e6b46e1-243d-427c-afb8-93350f0f10cb;615a83d5-f6b2-493d-9cdd-b543e337db07
738bae85-f513-4082-98e0-fef57f3b8da1,260f1fa0-fcad-4d2d-8f06-cc79aac9bb07,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
7d3e6a04-c057-4fbe-82ab-2c5fb2300738,728ff963-1b7b-4621-8ec3-666025ee42a8,a09cc3b4-f06c-4e22-86f9-5b5c45a72137;0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
5182e437-153e-470b-bb2e-5f1b0a8eccf8,2b7b323c-441c-4046-892e-46280fe0f8c1,f081fafe-6a1f-4276-9ad9-d37c115dae73;cfc09349-e050-4951-8332-2460d7901c24;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
5182e437-153e-470b-bb2e-5f1b0a8eccf8,1adbb92f-5cf9-461a-9d47-3c24b0ca41ac,f081fafe-6a1f-4276-9ad9-d37c115dae73;621a67f6-4978-42ea-bc30-298a78c3ce95;e207f862-5543-4d11-b8bc-e655c7ab1ae6
5cb8b5bf-0e4e-489d-a9d9-4c9ccbf5d643,28b9976c-666a-4a9a-8be7-480e7926172f,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
1fac5faf-347d-4338-ac68-e99588d9b0fc,c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;481794e3-e1cf-43de-94e4-59152e04eebb
1fac5faf-347d-4338-ac68-e99588d9b0fc,fc83f13d-a8f3-4f0e-9103-27b565d6c4cf,f081fafe-6a1f-4276-9ad9-d37c115dae73;85907a8c-a430-40da-aaec-502fc4d079c5;621a67f6-4978-42ea-bc30-298a78c3ce95
