id,name,type,price,attackBonus,defenseBonus,magicBonus,description
95718e7d-28a6-449e-b5a4-36e38e360b3a,无尽战刃,ATTACK,2140,120,0,0,暴击效果+40%，暴击率+20%
cfc09349-e050-4951-8332-2460d7901c24,破军,ATTACK,2950,180,0,0,对生命值低于50%的敌人造成额外30%伤害
f081fafe-6a1f-4276-9ad9-d37c115dae73,暗影战斧,ATTACK,2090,85,0,0,物理穿透+50，冷却缩减+15%
85907a8c-a430-40da-aaec-502fc4d079c5,宗师之力,ATTACK,2100,80,0,0,使用技能后下次普攻额外造成80%物理伤害
199f18e0-4f03-4733-917d-acce6b9af42d,破晓,ATTACK,3400,50,0,0,物理穿透+40%，攻速+35%，暴击率+15%
621a67f6-4978-42ea-bc30-298a78c3ce95,不祥征兆,DEFENSE,2180,0,270,0,受到攻击减少攻击者30%攻速和15%移速
307e1f13-2cfd-45ae-86df-ce90dcb6dde0,反伤刺甲,DEFENSE,1910,40,360,0,反弹25%受到的物理伤害给攻击者
7deb8b2e-1722-4824-a7d2-72c052bc51f8,霸者重装,DEFENSE,2070,0,200,0,脱战后每秒恢复3%最大生命值
86e73071-63da-4def-849d-d02684e82c57,魔女斗篷,DEFENSE,2120,0,100,200,获得吸收法术伤害的护盾
e207f862-5543-4d11-b8bc-e655c7ab1ae6,极寒风暴,DEFENSE,2100,0,360,0,受到单次伤害超过10%生命值时触发冰爆
a09cc3b4-f06c-4e22-86f9-5b5c45a72137,回响之杖,MAGIC,2100,0,0,240,技能命中触发小范围爆炸造成法术伤害
0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a,博学者之怒,MAGIC,2300,0,0,240,法术攻击提升35%
5fbec58e-761d-4e05-baca-d9bcd499741d,虚无法杖,MAGIC,2110,0,0,200,法术穿透+45%
1716379d-9068-4070-a393-9972d6df845f,贤者之书,MAGIC,2990,0,0,400,法术攻击+400，最大生命值+10%
11519189-7bca-48eb-8d6b-b2a76a00585d,痛苦面具,MAGIC,2040,0,0,180,技能命中造成目标当前生命值8%的法术伤害
ed7ace93-bfb8-4727-9cc0-bb1df46360a8,急速战靴,MOVEMENT,710,15,0,0,攻速+25%，移速+60
ca2fb8cf-5ece-4024-b349-f8e221af4d4d,冷静之靴,MOVEMENT,710,0,0,30,冷却缩减+15%，移速+60
481794e3-e1cf-43de-94e4-59152e04eebb,追击刀锋,JUNGLE,750,30,0,0,对野怪伤害+50%，击杀野怪获得额外经验
9e6b46e1-243d-427c-afb8-93350f0f10cb,近卫荣耀,SUPPORT,2100,0,60,30,周围友军物理防御+60，法术防御+48
615a83d5-f6b2-493d-9cdd-b543e337db07,奔狼纹章,SUPPORT,2100,0,40,50,使用后周围友军移速+50%，持续3秒
